Domain	Subset	Mode	N_Partitions	Sweep_Set	Region_Index	Region_Label	Cutoff_Count	Expected_Cells	Eval_Cells	Finite_Value_Cells	Primary_Eligible_Cells	Finite_Eligible_Cells	Finite_Eligible_Eval_Pct	Positive_Cells	Positive_Eval_Pct	Negative_Cells	Negative_Eval_Pct	Zero_Cells	Large_Positive_Cells	Large_Positive_Eval_Pct	Large_Positive_Eligible_Pct	Large_Negative_Cells	Large_Negative_Eval_Pct	Large_Negative_Eligible_Pct	Mean_Value	Median_Value
Formula	All	Period2_2018_2020	3	all100	3	high signed-tail region	66	6600	6600	6600	6530	6530	98.939394	194	2.939394	555	8.409091	5781	9	0.136364	0.137825	149	2.257576	2.281776	-0.025230	0.000000
Formula	PM	Combo6yr	3	all100	1	low signed-tail region	66	6600	6600	6600	6534	6534	99.000000	0	0.000000	5903	89.439394	631	0	0.000000	0.000000	5903	89.439394	90.342822	-0.899851	-1.000000
Formula	PM	Combo6yr	3	all100	2	middle signed-cutoff region	67	6700	6700	3400	3366	3366	50.238806	1007	15.029851	2216	33.074627	143	840	12.537313	24.955437	2087	31.149254	62.002377	-0.368875	-0.909722
Formula	PM	Combo6yr	3	all100	3	high signed-tail region	66	6600	6600	5800	5632	5632	85.333333	1870	28.333333	1860	28.181818	1902	1195	18.106061	21.218040	942	14.272727	16.725852	0.029140	0.000000
Formula	PM	Period1_2015_2017	3	all100	1	low signed-tail region	66	6600	6600	6600	6533	6533	98.984848	159	2.409091	5910	89.545455	464	91	1.378788	1.392928	4905	74.318182	75.080361	-0.721546	-0.972222
Formula	PM	Period1_2015_2017	3	all100	2	middle signed-cutoff region	67	6700	6700	3400	3356	3356	50.089552	620	9.253731	2636	39.343284	100	241	3.597015	7.181168	2051	30.611940	61.114422	-0.509016	-0.722222
Formula	PM	Period1_2015_2017	3	all100	3	high signed-tail region	66	6600	6600	5800	5634	5634	85.363636	1917	29.045455	1850	28.030303	1867	1276	19.333333	22.648207	812	12.303030	14.412496	0.055778	0.000000
Formula	PM	Period2_2018_2020	3	all100	1	low signed-tail region	66	6600	6600	6600	6534	6534	99.000000	0	0.000000	5704	86.424242	830	0	0.000000	0.000000	5704	86.424242	87.297215	-0.871624	-1.000000
Formula	PM	Period2_2018_2020	3	all100	2	middle signed-cutoff region	67	6700	6700	3400	3364	3364	50.208955	1011	15.089552	2167	32.343284	186	833	12.432836	24.762188	1974	29.462687	58.680143	-0.328067	-0.934028
Formula	PM	Period2_2018_2020	3	all100	3	high signed-tail region	66	6600	6600	2400	2246	2246	34.030303	531	8.045455	833	12.621212	882	83	1.257576	3.695459	352	5.333333	15.672306	-0.104675	0.000000
