Domain,Subset,Mode,N_Partitions,Sweep_Set,Region_Index,Region_Label,Cutoff_Count,Expected_Cells,Eval_Cells,Finite_Value_Cells,Primary_Eligible_Cells,Finite_Eligible_Cells,Finite_Eligible_Eval_Pct,Positive_Cells,Positive_Eval_Pct,Negative_Cells,Negative_Eval_Pct,Zero_Cells,Large_Positive_Cells,Large_Positive_Eval_Pct,Large_Positive_Eligible_Pct,Large_Negative_Cells,Large_Negative_Eval_Pct,Large_Negative_Eligible_Pct,Mean_Value,Median_Value
Brite,SM,Period2_2018_2020,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9900,9900,99.000000,786,7.860000,7819,78.190000,1295,683,6.830000,6.898990,7808,78.080000,78.868687,-0.711855,-1.000000
Brite,SM,Period2_2018_2020,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,9900,9801,9801,99.000000,5379,54.333333,3649,36.858586,773,768,7.757576,7.835935,12,0.121212,0.122436,0.084649,0.010417
Formula,All,Combo6yr,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9900,9900,99.000000,1091,10.910000,8325,83.250000,484,946,9.460000,9.555556,8070,80.700000,81.515152,-0.714268,-1.000000
Formula,All,Combo6yr,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,9900,9798,9798,98.969697,3352,33.858586,438,4.424242,6008,1656,16.727273,16.901408,62,0.626263,0.632782,0.153843,0.000000
Formula,All,Period1_2015_2017,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9888,9888,98.880000,324,3.240000,9214,92.140000,350,215,2.150000,2.174353,8970,89.700000,90.716019,-0.845999,-1.000000
Formula,All,Period1_2015_2017,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,9900,9799,9799,98.979798,3702,37.393939,423,4.272727,5674,2362,23.858586,24.104500,8,0.080808,0.081641,0.208756,0.000000
Formula,All,Period2_2018_2020,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9897,9897,98.970000,1502,15.020000,7787,77.870000,608,1277,12.770000,12.902900,7509,75.090000,75.871476,-0.617398,-0.972222
Formula,All,Period2_2018_2020,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,9900,9797,9797,98.959596,194,1.959596,555,5.606061,9048,9,0.090909,0.091865,149,1.505051,1.520874,-0.016816,0.000000
Formula,PM,Combo6yr,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9900,9900,99.000000,1007,10.070000,8119,81.190000,774,840,8.400000,8.484848,7990,79.900000,80.707071,-0.719319,-1.000000
Formula,PM,Combo6yr,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,5800,5632,5632,56.888889,1870,18.888889,1860,18.787879,1902,1195,12.070707,21.218040,942,9.515152,16.725852,0.029140,0.000000
Formula,PM,Period1_2015_2017,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9889,9889,98.890000,779,7.790000,8546,85.460000,564,332,3.320000,3.357266,6956,69.560000,70.340783,-0.649420,-0.916667
Formula,PM,Period1_2015_2017,2,all100,2,bin 2/2: high signed-tail side,99,9900,9900,5800,5634,5634,56.909091,1917,19.363636,1850,18.686869,1867,1276,12.888889,22.648207,812,8.202020,14.412496,0.055778,0.000000
Formula,PM,Period2_2018_2020,2,all100,1,bin 1/2: low-to-middle signed-cutoff region,100,10000,10000,10000,9898,9898,98.980000,1011,10.110000,7871,78.710000,1016,833,8.330000,8.415842,7678,76.780000,77.571227,-0.686888,-1.000000
