Domain,Subset,Mode,N_Partitions,Sweep_Set,Region_Index,Region_Label,Cutoff_Count,Expected_Cells,Eval_Cells,Finite_Value_Cells,Primary_Eligible_Cells,Finite_Eligible_Cells,Finite_Eligible_Eval_Pct,Positive_Cells,Positive_Eval_Pct,Negative_Cells,Negative_Eval_Pct,Zero_Cells,Large_Positive_Cells,Large_Positive_Eval_Pct,Large_Positive_Eligible_Pct,Large_Negative_Cells,Large_Negative_Eval_Pct,Large_Negative_Eligible_Pct,Mean_Value,Median_Value
Formula,All,Combo6yr,6,finite99,2,bin 2/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,3099,94.857668,168,0,0.000000,0.000000,2973,91.000918,91.000918,-0.912026,-1.000000
Formula,All,Combo6yr,6,finite99,3,bin 3/6: low-to-middle signed-cutoff region,34,3366,3366,3366,3366,3366,100.000000,1091,32.412359,2182,64.824718,93,946,28.104575,28.104575,2053,60.992276,60.992276,-0.315562,-0.902778
Formula,All,Combo6yr,6,finite99,4,bin 4/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,0,0.000000,3267,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
Formula,All,Combo6yr,6,finite99,5,bin 5/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,1080,33.057851,258,7.897153,1929,465,14.233242,14.233242,6,0.183655,0.183655,0.129624,0.000000
Formula,All,Combo6yr,6,finite99,6,bin 6/6: high signed-tail side,33,3267,3267,3267,3264,3264,99.908173,2272,69.543924,180,5.509642,812,1191,36.455464,36.488971,56,1.714111,1.715686,0.332070,0.354167
Formula,All,Period1_2015_2017,6,finite99,1,bin 1/6: low signed-tail side,33,3267,3267,3267,3263,3263,99.877564,94,2.877257,2965,90.756045,204,94,2.877257,2.880785,2916,89.256198,89.365614,-0.788381,-0.972222
Formula,All,Period1_2015_2017,6,finite99,2,bin 2/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,144,4.407713,3027,92.653811,96,35,1.071319,1.071319,2950,90.296908,90.296908,-0.870785,-1.000000
Formula,All,Period1_2015_2017,6,finite99,3,bin 3/6: low-to-middle signed-cutoff region,34,3366,3366,3366,3358,3358,99.762329,86,2.554961,3222,95.721925,50,86,2.554961,2.561048,3104,92.216280,92.435974,-0.877872,-1.000000
Formula,All,Period1_2015_2017,6,finite99,4,bin 4/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,0,0.000000,3267,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000
Formula,All,Period1_2015_2017,6,finite99,5,bin 5/6: high signed-tail side,33,3267,3267,3267,3267,3267,100.000000,1071,32.782369,421,12.886440,1775,517,15.824916,15.824916,8,0.244873,0.244873,0.144141,0.000000
Formula,All,Period1_2015_2017,6,finite99,6,bin 6/6: high signed-tail side,33,3267,3267,3267,3265,3265,99.938782,2631,80.532599,2,0.061218,632,1845,56.473829,56.508423,0,0.000000,0.000000,0.482293,0.520833
Formula,All,Period2_2018_2020,6,finite99,1,bin 1/6: low signed-tail side,33,3267,3267,3267,3267,3267,100.000000,0,0.000000,3035,92.898684,232,0,0.000000,0.000000,3035,92.898684,92.898684,-0.902538,-0.986111
Formula,All,Period2_2018_2020,6,finite99,2,bin 2/6: low signed-tail side,33,3267,3267,3267,3266,3266,99.969391,0,0.000000,3035,92.898684,231,0,0.000000,0.000000,3035,92.898684,92.927128,-0.905948,-0.986111
Formula,All,Period2_2018_2020,6,finite99,3,bin 3/6: low-to-middle signed-cutoff region,34,3366,3366,3366,3364,3364,99.940582,1502,44.622698,1717,51.010101,145,1277,37.938206,37.960761,1439,42.751040,42.776457,-0.060337,-0.114583
