Formula,High-EI 2014,High-EI 2015,High-EI 2016,High-EI 2017,High-EI 2018,High-EI 2019,High-EI 2020,Low-EI 2015,Low-EI 2016,Low-EI 2017,Low-EI 2018,Low-EI 2019,Low-EI 2020
C37H30O17,43093,36593,26758,48627,106329.666666667,76172.6666666667,134053,49850,18524,48869,185938.666666667,101871.666666667,184490
C27H30O14,34454,0,0,10252.5,57358.3333333333,0,0,0,0,29607,250749,0,0
C9H7N,0,0,0,0,7921,8634.6666666667,7123,0,0,0,15598.3333333333,19071.3333333333,14987.6666666667
C24H39N5O6,8465.5,7753,18,0,8744.1666666667,0,22252.3333333333,0,0,0,20658.1666666667,0,30286.5
C5H5N5O,0,0,0,0,15942.6666666667,13710.6666666667,58642.3333333333,0,0,0,29509.6666666667,155011.666666667,101046.666666667
C45H38O18,6968.75,9335,7102,12045.75,19363.7777777778,14162.5,31863.5,9340.75,5785.3333333333,10980.75,26252.4444444444,13718.8333333333,46833.25
C16H20N5O9P,0,0,0,0,18456.6666666667,1436,19998.8333333333,0,0,0,23389.3333333333,5016.6666666667,32789.6666666667
C11H12N2O2,22953,40979,0,24862,211134.777777778,405555.333333333,317385.166666667,0,42987,60826,433922.888888889,868388.333333333,657368.666666667
C14H12O2S2,0,0,0,0,0,6879.3333333333,24497,0,0,0,0,22787.6666666667,44473.6666666667
C21H20O12,119313,88664.5,56184.5,60898.6666666667,241859.888888889,328221.444444444,344745,89307,46948.5,80370.6666666667,338990.111111111,588684.333333333,618350.555555556
C20H15NO8,0,0,0,0,2163,0,0,0,0,0,7049.3333333333,0,0
C5H7NO3,15450.5,11608.5,11660,8344.5,153708.333333333,65014,330773,18689,40720,22171.5,248091.666666667,210988.833333333,444810
C27H30O16,117100.5,33022.5,69265,83096.5,406662.166666667,246995.666666667,440132,24279,33215.5,87076.5,246340.333333333,193621,938617
C8H14N2O4,5260,0,0,0,0,0,18431.6666666667,0,0,5554,0,0,30154
C6H4O5,0,0,0,0,0,0,9896,0,0,0,0,0,16427.6666666667
C33H41O22,0,0,0,0,4852.6666666667,0,0,0,0,0,13593.6666666667,0,0
C10H9NO3,0,0,0,0,1398.3333333333,0,0,0,0,0,3843,0,0
C9H7NO,0,0,0,0,43560,54178.6666666667,30096,0,0,0,86935.6666666667,120703.666666667,64222.6666666667
C21H20O13,237437,212397,151963,189663,1064009.66666667,426164.166666667,700556.5,209472,114763,223439,1570166.33333333,622505.833333333,978610.666666667
C22H24O5,0,0,0,0,8852.6666666667,0,0,0,0,0,22727.6666666667,0,0
C12H20O,0,0,0,0,7280.3333333333,0,2236.6666666667,0,0,0,6363,0,5795.6666666667
C10H7NO3,0,0,0,0,16014.3333333333,17359.6666666667,22613.6666666667,0,0,0,19638.3333333333,48752.3333333333,40523
C16H25NO,0,0,0,0,429.6666666667,0,0,0,0,0,1046.6666666667,0,0
C23H24O12,0,0,0,0,6892.6666666667,8592.3333333333,22895.8333333333,0,0,0,14592.3333333333,10709,33060.1666666667
C16H17N5O7S2,0,0,0,0,4178.6666666667,0,0,0,0,0,10073.6666666667,0,0
C14H12O4,0,0,0,0,0,0,5754.6666666667,0,0,0,0,0,8995.3333333333
C10H9N,0,0,0,0,17060.6666666667,30345.6666666667,13384,0,0,0,40473,72405.3333333333,29410.6666666667
C13H18N2O,0,0,0,0,3149.1666666667,10873,13399.6666666667,0,0,0,16230.1666666667,20672,16933.6666666667
C8H13NO2,0,0,0,0,0,0,4333.6666666667,0,0,0,0,0,6622.3333333333
