"","Carbohydrate metabolism","Lipid/glycolipid metabolism","Nucleotide metabolism","Amino acid metabolism","Glycan/glycoprotein metabolism","Cofactor/vitamin metabolism","Replication and repair","Signal transduction","Cellular process","Immune system","Endocrine system"
"C10H12O2",0,0,0,0,0,0,0,0,0,0,0
"C15H8O5",0,0,0,0,0,0,0,0,0,0,0
"C15H22O5",0,0,0,0,0,0,0,0,0,0,0
"C15H24",0,0,0,0,0,0,0,0,0,0,0
"C10H18O2",0,0,0,0,0,0,0,0,0,0,0
"C13H24O2",0,0,0,0,0,0,0,0,0,0,0
"C8H10O4",0,0,0,0,0,0,0,0,0,0,0
"C26H30O15",0,0,0,0,0,0,0,0,0,0,0
"C9H12O3",0,0,0,0,0,0,0,0,0,0,0
"C7H9N5O",0,0,0,0,0,0,0,0,0,0,0
"C18H16O8",0,0,0,0,0,0,0,0,0,0,0
"C12H23NO10S2",0,0,0,0,0,0,0,0,0,0,0
"C8H11NO",0,0,0,0,0,0,0,0,0,0,0
"C12H14O",0,0,0,0,0,0,0,0,0,0,0
